prism_consumer_id,prism_account_id,memo,amount,posted_date,category
430,acc_1269,REFUND,14.99,2021-09-22,REFUND
2527,acc_6110,EXTERNAL_TRANSFER,145.88,2022-09-07,EXTERNAL_TRANSFER
622,acc_1825,SELF_TRANSFER,304.0,2023-01-29,SELF_TRANSFER
2213,acc_5796,SELF_TRANSFER,0.78,2022-06-27,SELF_TRANSFER
1538,acc_4265,INVESTMENT_INCOME,0.04,2021-06-30,INVESTMENT_INCOME
2146,acc_5729,EXTERNAL_TRANSFER,8.01,2023-04-04,EXTERNAL_TRANSFER
1509,acc_4191,SELF_TRANSFER,4.0,2022-11-07,SELF_TRANSFER
4636,acc_8219,PAYCHECK,1162.11,2022-07-29,PAYCHECK
2579,acc_6162,PAYCHECK,309.56,2022-07-22,PAYCHECK
1294,acc_3623,EXTERNAL_TRANSFER,76.05,2022-06-07,EXTERNAL_TRANSFER
4285,acc_7868,PAYCHECK_PLACEHOLDER,403.12,2021-03-12,PAYCHECK_PLACEHOLDER
2462,acc_6045,SELF_TRANSFER,0.33,2022-08-03,SELF_TRANSFER
2042,acc_5625,EXTERNAL_TRANSFER,11.0,2022-10-18,EXTERNAL_TRANSFER
1603,acc_4445,SELF_TRANSFER,120000.0,2022-03-18,SELF_TRANSFER
214,acc_641,INVESTMENT_INCOME,0.14,2022-07-29,INVESTMENT_INCOME
615,acc_1806,DEPOSIT,130.0,2023-01-06,DEPOSIT
3885,acc_7468,SMALL_DOLLAR_ADVANCE,100.0,2022-10-11,SMALL_DOLLAR_ADVANCE
734,acc_2124,EXTERNAL_TRANSFER,0.05,2022-07-09,EXTERNAL_TRANSFER
4120,acc_7703,MISCELLANEOUS,756.0,2021-02-17,MISCELLANEOUS
4489,acc_8072,EXTERNAL_TRANSFER,24.31,2022-07-20,EXTERNAL_TRANSFER
9,acc_22,REFUND,0.87,2020-09-10,REFUND
2945,acc_6528,DEPOSIT,500.0,2022-11-21,DEPOSIT
3495,acc_7078,EXTERNAL_TRANSFER,100.0,2022-10-03,EXTERNAL_TRANSFER
4467,acc_8050,EXTERNAL_TRANSFER,100.0,2022-05-25,EXTERNAL_TRANSFER
1541,acc_4275,EXTERNAL_TRANSFER,30.0,2021-09-13,EXTERNAL_TRANSFER
2462,acc_6045,EXTERNAL_TRANSFER,10.0,2022-09-12,EXTERNAL_TRANSFER
355,acc_1058,SELF_TRANSFER,1.0,2022-08-18,SELF_TRANSFER
2021,acc_5604,EXTERNAL_TRANSFER,50.0,2023-02-21,EXTERNAL_TRANSFER
3661,acc_7244,EXTERNAL_TRANSFER,150.0,2023-03-07,EXTERNAL_TRANSFER
3849,acc_7432,EXTERNAL_TRANSFER,980.22,2023-01-30,EXTERNAL_TRANSFER
748,acc_2172,PAYCHECK,5447.67,2023-04-26,PAYCHECK
1967,acc_5486,SELF_TRANSFER,200.0,2021-09-13,SELF_TRANSFER
1304,acc_3650,SELF_TRANSFER,35.13,2021-02-24,SELF_TRANSFER
2614,acc_6197,SELF_TRANSFER,0.3,2022-12-13,SELF_TRANSFER
1310,acc_3668,INVESTMENT_INCOME,0.02,2020-08-31,INVESTMENT_INCOME
5436,acc_9019,EXTERNAL_TRANSFER,400.0,2022-05-31,EXTERNAL_TRANSFER
722,acc_2088,INVESTMENT_INCOME,21.63,2023-04-21,INVESTMENT_INCOME
3582,acc_7165,PAYCHECK_PLACEHOLDER,1017.67,2022-06-17,PAYCHECK_PLACEHOLDER
3464,acc_7047,EXTERNAL_TRANSFER,24.56,2023-01-04,EXTERNAL_TRANSFER
3818,acc_7401,SELF_TRANSFER,20.0,2023-01-13,SELF_TRANSFER
1323,acc_3705,SELF_TRANSFER,74.6,2021-07-06,SELF_TRANSFER
2682,acc_6265,SELF_TRANSFER,109.72,2022-08-25,SELF_TRANSFER
2816,acc_6399,SELF_TRANSFER,0.14,2023-01-03,SELF_TRANSFER
1330,acc_3726,EXTERNAL_TRANSFER,282.45,2023-03-08,EXTERNAL_TRANSFER
1832,acc_5078,DEPOSIT,5144.8,2021-12-17,DEPOSIT
1192,acc_3362,SELF_TRANSFER,200.0,2021-12-06,SELF_TRANSFER
1941,acc_5413,SMALL_DOLLAR_ADVANCE,100.0,2022-06-24,SMALL_DOLLAR_ADVANCE
913,acc_2621,EXTERNAL_TRANSFER,300.0,2022-02-20,EXTERNAL_TRANSFER
650,acc_1900,SELF_TRANSFER,1100.0,2021-09-14,SELF_TRANSFER
86,acc_246,INVESTMENT_INCOME,0.01,2023-03-31,INVESTMENT_INCOME
391,acc_1166,MISCELLANEOUS,3.11,2022-12-09,MISCELLANEOUS
5001,acc_8584,SELF_TRANSFER,100.0,2021-11-22,SELF_TRANSFER
5119,acc_8702,MISCELLANEOUS,56.63,2021-11-12,MISCELLANEOUS
1256,acc_3541,EXTERNAL_TRANSFER,30.0,2022-07-19,EXTERNAL_TRANSFER
4096,acc_7679,EXTERNAL_TRANSFER,105.0,2022-03-14,EXTERNAL_TRANSFER
2975,acc_6558,EXTERNAL_TRANSFER,110.0,2022-08-15,EXTERNAL_TRANSFER
5293,acc_8876,PAYCHECK,969.22,2023-01-04,PAYCHECK
3342,acc_6925,SELF_TRANSFER,25.0,2023-01-08,SELF_TRANSFER
1773,acc_4914,DEPOSIT,1177.02,2021-09-24,DEPOSIT
4510,acc_8093,INVESTMENT_INCOME,147.75,2021-11-01,INVESTMENT_INCOME
2407,acc_5990,PAYCHECK,2731.27,2022-12-16,PAYCHECK
2900,acc_6483,SMALL_DOLLAR_ADVANCE,400.0,2023-02-09,SMALL_DOLLAR_ADVANCE
4092,acc_7675,EXTERNAL_TRANSFER,64.63,2021-09-28,EXTERNAL_TRANSFER
2118,acc_5701,OTHER_BENEFITS,1588.65,2023-04-25,OTHER_BENEFITS
3372,acc_6955,MISCELLANEOUS,55.53,2022-10-15,MISCELLANEOUS
118,acc_333,MISCELLANEOUS,850.0,2021-11-01,MISCELLANEOUS
2229,acc_5812,EXTERNAL_TRANSFER,2.79,2022-09-29,EXTERNAL_TRANSFER
2717,acc_6300,EXTERNAL_TRANSFER,10.0,2022-12-08,EXTERNAL_TRANSFER
5576,acc_9159,EXTERNAL_TRANSFER,152.68,2021-08-13,EXTERNAL_TRANSFER
3294,acc_6877,MISCELLANEOUS,150.0,2023-03-03,MISCELLANEOUS
1681,acc_4664,DEPOSIT,400.0,2022-10-17,DEPOSIT
4131,acc_7714,PAYCHECK,1063.6,2022-06-27,PAYCHECK
3893,acc_7476,SMALL_DOLLAR_ADVANCE,100.0,2022-11-18,SMALL_DOLLAR_ADVANCE
4378,acc_7961,REFUND,240.0,2022-06-13,REFUND
4423,acc_8006,DEPOSIT,45.0,2022-10-03,DEPOSIT
5940,acc_9523,PAYCHECK,30.0,2022-12-28,PAYCHECK
2328,acc_5911,MISCELLANEOUS,50.0,2022-12-12,MISCELLANEOUS
4865,acc_8448,SELF_TRANSFER,10.0,2022-03-14,SELF_TRANSFER
1776,acc_4930,PAYCHECK,644.05,2021-11-04,PAYCHECK
1431,acc_3993,SELF_TRANSFER,100.0,2023-05-05,SELF_TRANSFER
3900,acc_7483,EXTERNAL_TRANSFER,8.0,2023-03-08,EXTERNAL_TRANSFER
2211,acc_5794,EXTERNAL_TRANSFER,31.44,2022-08-02,EXTERNAL_TRANSFER
3021,acc_6604,MISCELLANEOUS,484.95,2022-12-15,MISCELLANEOUS
5709,acc_9292,REFUND,48.62,2022-05-11,REFUND
4145,acc_7728,EXTERNAL_TRANSFER,1000.0,2021-03-01,EXTERNAL_TRANSFER
1000,acc_2827,SELF_TRANSFER,0.17,2021-06-30,SELF_TRANSFER
4456,acc_8039,MISCELLANEOUS,0.5,2022-03-07,MISCELLANEOUS
4277,acc_7860,DEPOSIT,211.0,2022-08-18,DEPOSIT
4868,acc_8451,PAYCHECK_PLACEHOLDER,4.8,2022-08-24,PAYCHECK_PLACEHOLDER
2701,acc_6284,EXTERNAL_TRANSFER,40.0,2022-10-17,EXTERNAL_TRANSFER
3246,acc_6829,DEPOSIT,177.0,2022-10-17,DEPOSIT
5281,acc_8864,SELF_TRANSFER,169.0,2022-09-06,SELF_TRANSFER
4660,acc_8243,EXTERNAL_TRANSFER,26.0,2021-10-12,EXTERNAL_TRANSFER
3164,acc_6747,SMALL_DOLLAR_ADVANCE,100.0,2022-11-04,SMALL_DOLLAR_ADVANCE
3108,acc_6691,EXTERNAL_TRANSFER,3.0,2022-09-23,EXTERNAL_TRANSFER
141,acc_399,PAYCHECK,1997.09,2021-01-15,PAYCHECK
3944,acc_7527,PAYCHECK_PLACEHOLDER,61.19,2022-08-15,PAYCHECK_PLACEHOLDER
1400,acc_3908,SELF_TRANSFER,100.0,2020-07-13,SELF_TRANSFER
0,acc_0,PAYCHECK,2331.71,2022-05-20,PAYCHECK
1258,acc_3543,INSURANCE,2551.96,2021-05-26,INSURANCE
5139,acc_8722,DEPOSIT,100.0,2022-11-01,DEPOSIT
1766,acc_4890,EXTERNAL_TRANSFER,171.28,2021-02-23,EXTERNAL_TRANSFER
4621,acc_8204,PAYCHECK,1353.81,2021-12-03,PAYCHECK
3947,acc_7530,DEPOSIT,59.4,2023-01-02,DEPOSIT
2489,acc_6072,EXTERNAL_TRANSFER,80.0,2022-11-14,EXTERNAL_TRANSFER
3960,acc_7543,SELF_TRANSFER,20.0,2023-04-13,SELF_TRANSFER
3124,acc_6707,MISCELLANEOUS,63.13,2022-09-23,MISCELLANEOUS
3378,acc_6961,DEPOSIT,15.0,2022-07-12,DEPOSIT
1252,acc_3526,EXTERNAL_TRANSFER,325.0,2020-01-27,EXTERNAL_TRANSFER
2159,acc_5742,EXTERNAL_TRANSFER,11.75,2022-10-12,EXTERNAL_TRANSFER
5910,acc_9493,SELF_TRANSFER,50.0,2021-07-22,SELF_TRANSFER
4798,acc_8381,MISCELLANEOUS,3.0,2022-07-05,MISCELLANEOUS
783,acc_2257,EXTERNAL_TRANSFER,150.0,2021-12-27,EXTERNAL_TRANSFER
1597,acc_4425,SELF_TRANSFER,0.72,2021-12-30,SELF_TRANSFER
5774,acc_9357,MISCELLANEOUS,200.0,2022-02-22,MISCELLANEOUS
1085,acc_3066,SELF_TRANSFER,1.39,2020-11-13,SELF_TRANSFER
2922,acc_6505,EXTERNAL_TRANSFER,20.0,2022-11-17,EXTERNAL_TRANSFER
3694,acc_7277,SMALL_DOLLAR_ADVANCE,100.0,2023-04-03,SMALL_DOLLAR_ADVANCE
3304,acc_6887,SMALL_DOLLAR_ADVANCE,96.51,2022-12-05,SMALL_DOLLAR_ADVANCE
5662,acc_9245,OTHER_BENEFITS,165.0,2022-04-25,OTHER_BENEFITS
4980,acc_8563,EXTERNAL_TRANSFER,8.0,2021-06-03,EXTERNAL_TRANSFER
5900,acc_9483,DEPOSIT,350.0,2022-08-09,DEPOSIT
1871,acc_5203,EXTERNAL_TRANSFER,10.0,2022-05-27,EXTERNAL_TRANSFER
4091,acc_7674,REFUND,74.95,2021-09-28,REFUND
3849,acc_7432,EXTERNAL_TRANSFER,120.32,2023-01-01,EXTERNAL_TRANSFER
4856,acc_8439,REFUND,295.5,2022-04-27,REFUND
2150,acc_5733,MISCELLANEOUS,200.0,2023-04-08,MISCELLANEOUS
723,acc_2090,DEPOSIT,45.88,2020-05-23,DEPOSIT
914,acc_2624,SELF_TRANSFER,2.02,2020-10-20,SELF_TRANSFER
1914,acc_5320,SELF_TRANSFER,50.0,2020-04-17,SELF_TRANSFER
966,acc_2737,DEPOSIT,3104.7,2021-06-04,DEPOSIT
5763,acc_9346,EXTERNAL_TRANSFER,300.0,2022-07-15,EXTERNAL_TRANSFER
56,acc_151,EXTERNAL_TRANSFER,315.0,2022-11-21,EXTERNAL_TRANSFER
2913,acc_6496,EXTERNAL_TRANSFER,122.81,2022-09-23,EXTERNAL_TRANSFER
5675,acc_9258,PAYCHECK_PLACEHOLDER,19.69,2021-09-30,PAYCHECK_PLACEHOLDER
3297,acc_6880,SELF_TRANSFER,33.2,2023-01-02,SELF_TRANSFER
355,acc_1059,MISCELLANEOUS,1953.25,2022-03-31,MISCELLANEOUS
3002,acc_6585,REFUND,10.29,2023-03-24,REFUND
4960,acc_8543,PAYCHECK,510.0,2022-09-29,PAYCHECK
2770,acc_6353,SELF_TRANSFER,154.0,2022-09-09,SELF_TRANSFER
206,acc_614,MISCELLANEOUS,388.54,2022-09-16,MISCELLANEOUS
4903,acc_8486,MISCELLANEOUS,552.0,2022-12-06,MISCELLANEOUS
5940,acc_9523,DEPOSIT,631.0,2022-07-31,DEPOSIT
499,acc_1457,DEPOSIT,400.0,2021-06-22,DEPOSIT
4562,acc_8145,SELF_TRANSFER,25.0,2021-10-25,SELF_TRANSFER
4309,acc_7892,EXTERNAL_TRANSFER,500.0,2021-09-14,EXTERNAL_TRANSFER
652,acc_1905,EXTERNAL_TRANSFER,620.65,2021-12-23,EXTERNAL_TRANSFER
1853,acc_5136,EXTERNAL_TRANSFER,1500.0,2022-07-13,EXTERNAL_TRANSFER
5378,acc_8961,SELF_TRANSFER,50.0,2022-07-18,SELF_TRANSFER
4384,acc_7967,EXTERNAL_TRANSFER,350.0,2022-04-13,EXTERNAL_TRANSFER
5737,acc_9320,UNEMPLOYMENT_BENEFITS,626.0,2021-05-18,UNEMPLOYMENT_BENEFITS
4787,acc_8370,DEPOSIT,1135.0,2021-07-30,DEPOSIT
5929,acc_9512,PAYCHECK,1641.4,2022-05-20,PAYCHECK
5794,acc_9377,DEPOSIT,49.67,2021-12-01,DEPOSIT
3171,acc_6754,SELF_TRANSFER,2.0,2023-02-13,SELF_TRANSFER
4296,acc_7879,EXTERNAL_TRANSFER,5267.92,2022-08-24,EXTERNAL_TRANSFER
2000,acc_5583,EXTERNAL_TRANSFER,50.0,2023-03-31,EXTERNAL_TRANSFER
5330,acc_8913,EXTERNAL_TRANSFER,19.65,2022-10-07,EXTERNAL_TRANSFER
4010,acc_7593,PAYCHECK,1445.15,2021-07-02,PAYCHECK
1203,acc_3402,SELF_TRANSFER,1000.0,2021-12-14,SELF_TRANSFER
3657,acc_7240,EXTERNAL_TRANSFER,20.0,2023-05-12,EXTERNAL_TRANSFER
568,acc_1679,REFUND,6.95,2021-05-11,REFUND
4533,acc_8116,INVESTMENT_INCOME,0.01,2022-09-11,INVESTMENT_INCOME
1942,acc_5415,DEPOSIT,700.0,2022-08-11,DEPOSIT
4392,acc_7975,MISCELLANEOUS,186.82,2022-02-16,MISCELLANEOUS
5506,acc_9089,DEPOSIT,220.0,2021-03-29,DEPOSIT
678,acc_1974,SELF_TRANSFER,0.81,2022-03-24,SELF_TRANSFER
2922,acc_6505,EXTERNAL_TRANSFER,40.0,2022-08-05,EXTERNAL_TRANSFER
1224,acc_3452,EXTERNAL_TRANSFER,49.14,2021-10-13,EXTERNAL_TRANSFER
3851,acc_7434,SELF_TRANSFER,200.0,2022-11-07,SELF_TRANSFER
338,acc_1013,SELF_TRANSFER,2.04,2021-09-08,SELF_TRANSFER
5231,acc_8814,MISCELLANEOUS,42.46,2021-06-13,MISCELLANEOUS
4016,acc_7599,DEPOSIT,150.0,2021-11-04,DEPOSIT
3949,acc_7532,PAYCHECK,1239.83,2022-08-24,PAYCHECK
1141,acc_3232,EXTERNAL_TRANSFER,0.76,2023-03-30,EXTERNAL_TRANSFER
5503,acc_9086,DEPOSIT,2000.0,2021-12-29,DEPOSIT
367,acc_1091,SELF_TRANSFER,1450.0,2022-03-24,SELF_TRANSFER
450,acc_1323,DEPOSIT,800.0,2021-12-07,DEPOSIT
1299,acc_3635,DEPOSIT,23.17,2021-11-01,DEPOSIT
1000,acc_2827,SELF_TRANSFER,0.87,2022-04-21,SELF_TRANSFER
3205,acc_6788,EXTERNAL_TRANSFER,10.0,2022-12-10,EXTERNAL_TRANSFER
4828,acc_8411,REFUND,28.69,2021-06-22,REFUND
3661,acc_7244,EXTERNAL_TRANSFER,55.0,2023-02-13,EXTERNAL_TRANSFER
1494,acc_4158,DEPOSIT,10.0,2021-11-22,DEPOSIT
5281,acc_8864,REFUND,589.51,2022-01-10,REFUND
917,acc_2631,SELF_TRANSFER,500.0,2022-02-10,SELF_TRANSFER
1228,acc_3466,MISCELLANEOUS,32.43,2021-12-14,MISCELLANEOUS
4094,acc_7677,REFUND,100.0,2022-01-20,REFUND
2329,acc_5912,DEPOSIT,500.0,2023-02-10,DEPOSIT
1783,acc_4944,INVESTMENT_INCOME,0.22,2022-10-31,INVESTMENT_INCOME
1357,acc_3788,SELF_TRANSFER,0.93,2022-07-14,SELF_TRANSFER
1675,acc_4646,INVESTMENT_INCOME,317.79,2022-04-14,INVESTMENT_INCOME
831,acc_2392,SELF_TRANSFER,35000.0,2021-07-26,SELF_TRANSFER
1451,acc_4040,MISCELLANEOUS,3.0,2022-07-21,MISCELLANEOUS
1009,acc_2850,SELF_TRANSFER,2.0,2020-04-27,SELF_TRANSFER
4988,acc_8571,EXTERNAL_TRANSFER,135.25,2022-08-29,EXTERNAL_TRANSFER
4075,acc_7658,PAYCHECK,175.0,2022-07-13,PAYCHECK
376,acc_1113,PAYCHECK_PLACEHOLDER,1500.0,2022-06-30,PAYCHECK_PLACEHOLDER
975,acc_2761,SELF_TRANSFER,25.0,2022-12-06,SELF_TRANSFER
2030,acc_5613,EXTERNAL_TRANSFER,125.0,2022-12-31,EXTERNAL_TRANSFER
3217,acc_6800,SELF_TRANSFER,20.0,2022-12-20,SELF_TRANSFER
4299,acc_7882,SELF_TRANSFER,10.0,2021-10-28,SELF_TRANSFER
3694,acc_7277,REFUND,30.0,2022-12-13,REFUND
430,acc_1269,EXTERNAL_TRANSFER,165.22,2021-07-03,EXTERNAL_TRANSFER
3644,acc_7227,LOAN,27.05,2023-04-25,LOAN
3631,acc_7214,EXTERNAL_TRANSFER,10.0,2022-09-22,EXTERNAL_TRANSFER
4641,acc_8224,SELF_TRANSFER,6.0,2021-02-09,SELF_TRANSFER
4251,acc_7834,EXTERNAL_TRANSFER,20.0,2022-05-25,EXTERNAL_TRANSFER
1492,acc_4151,SELF_TRANSFER,200.0,2022-02-28,SELF_TRANSFER
3820,acc_7403,EXTERNAL_TRANSFER,100.0,2023-01-27,EXTERNAL_TRANSFER
5380,acc_8963,EXTERNAL_TRANSFER,892.64,2021-09-23,EXTERNAL_TRANSFER
4384,acc_7967,DEPOSIT,500.0,2021-04-05,DEPOSIT
5730,acc_9313,MISCELLANEOUS,1194.69,2022-03-10,MISCELLANEOUS
4988,acc_8571,EXTERNAL_TRANSFER,562.4,2021-11-02,EXTERNAL_TRANSFER
2023,acc_5606,EXTERNAL_TRANSFER,50.0,2022-09-26,EXTERNAL_TRANSFER
2030,acc_5613,EXTERNAL_TRANSFER,300.0,2023-01-13,EXTERNAL_TRANSFER
3661,acc_7244,SMALL_DOLLAR_ADVANCE,25.0,2023-03-20,SMALL_DOLLAR_ADVANCE
754,acc_2185,EXTERNAL_TRANSFER,3500.0,2021-11-19,EXTERNAL_TRANSFER
3590,acc_7173,MISCELLANEOUS,574.14,2023-03-16,MISCELLANEOUS
3828,acc_7411,MISCELLANEOUS,2123.31,2022-12-12,MISCELLANEOUS
2193,acc_5776,SELF_TRANSFER,30.0,2022-09-21,SELF_TRANSFER
5763,acc_9346,EXTERNAL_TRANSFER,150.0,2021-08-23,EXTERNAL_TRANSFER
1605,acc_4451,EXTERNAL_TRANSFER,10890.0,2022-01-18,EXTERNAL_TRANSFER
3483,acc_7066,REFUND,32.42,2022-07-05,REFUND
4437,acc_8020,OTHER_BENEFITS,1881.0,2021-02-10,OTHER_BENEFITS
3899,acc_7482,EXTERNAL_TRANSFER,30.0,2023-02-19,EXTERNAL_TRANSFER
888,acc_2561,PAYCHECK,1156.88,2022-07-22,PAYCHECK
3925,acc_7508,EXTERNAL_TRANSFER,20.0,2022-08-24,EXTERNAL_TRANSFER
1560,acc_4317,DEPOSIT,4013.28,2021-11-15,DEPOSIT
2461,acc_6044,EXTERNAL_TRANSFER,1.64,2022-10-26,EXTERNAL_TRANSFER
1194,acc_3373,SELF_TRANSFER,400.0,2022-09-06,SELF_TRANSFER
450,acc_1324,SELF_TRANSFER,15.0,2022-02-15,SELF_TRANSFER
1851,acc_5133,EXTERNAL_TRANSFER,10.5,2022-02-28,EXTERNAL_TRANSFER
4410,acc_7993,DEPOSIT,825.0,2022-04-14,DEPOSIT
5939,acc_9522,DEPOSIT,200.0,2022-09-01,DEPOSIT
692,acc_2003,MISCELLANEOUS,483.27,2021-08-12,MISCELLANEOUS
5119,acc_8702,MISCELLANEOUS,70.61,2021-08-05,MISCELLANEOUS
1419,acc_3961,MISCELLANEOUS,715.82,2022-11-03,MISCELLANEOUS
4787,acc_8370,EXTERNAL_TRANSFER,3754.43,2021-09-09,EXTERNAL_TRANSFER
3245,acc_6828,EXTERNAL_TRANSFER,24.08,2022-10-24,EXTERNAL_TRANSFER
656,acc_1917,SELF_TRANSFER,121.23,2022-05-19,SELF_TRANSFER
3720,acc_7303,DEPOSIT,19.65,2022-07-09,DEPOSIT
248,acc_738,INVESTMENT_INCOME,529.1,2021-02-10,INVESTMENT_INCOME
3134,acc_6717,EXTERNAL_TRANSFER,80.0,2022-08-16,EXTERNAL_TRANSFER
3893,acc_7476,DEPOSIT,5.0,2023-02-19,DEPOSIT
4809,acc_8392,EXTERNAL_TRANSFER,297.0,2021-02-22,EXTERNAL_TRANSFER
387,acc_1156,DEPOSIT,18016.21,2021-11-22,DEPOSIT
4241,acc_7824,MISCELLANEOUS,6.35,2022-03-07,MISCELLANEOUS
59,acc_160,EXTERNAL_TRANSFER,17.08,2022-12-12,EXTERNAL_TRANSFER
331,acc_985,PAYCHECK_PLACEHOLDER,3264.88,2021-06-25,PAYCHECK_PLACEHOLDER
663,acc_1938,EXTERNAL_TRANSFER,4.75,2022-07-08,EXTERNAL_TRANSFER
711,acc_2059,INVESTMENT_INCOME,0.02,2021-01-20,INVESTMENT_INCOME
3568,acc_7151,SMALL_DOLLAR_ADVANCE,100.0,2023-06-05,SMALL_DOLLAR_ADVANCE
5554,acc_9137,SELF_TRANSFER,46.0,2022-09-30,SELF_TRANSFER
4638,acc_8221,EXTERNAL_TRANSFER,40.83,2021-01-08,EXTERNAL_TRANSFER
5518,acc_9101,SELF_TRANSFER,20.0,2022-01-31,SELF_TRANSFER
4379,acc_7962,INVESTMENT_INCOME,246.25,2021-10-04,INVESTMENT_INCOME
1653,acc_4575,SELF_TRANSFER,30.0,2022-05-02,SELF_TRANSFER
2553,acc_6136,SELF_TRANSFER,30.0,2023-01-10,SELF_TRANSFER
5060,acc_8643,SMALL_DOLLAR_ADVANCE,600.0,2022-09-06,SMALL_DOLLAR_ADVANCE
1058,acc_2987,DEPOSIT,1000.0,2021-03-24,DEPOSIT
4850,acc_8433,EXTERNAL_TRANSFER,50.0,2022-05-09,EXTERNAL_TRANSFER
2421,acc_6004,EXTERNAL_TRANSFER,30.01,2022-12-08,EXTERNAL_TRANSFER
789,acc_2269,EXTERNAL_TRANSFER,200.0,2022-08-05,EXTERNAL_TRANSFER
2427,acc_6010,INVESTMENT_INCOME,61.27,2022-10-14,INVESTMENT_INCOME
1923,acc_5358,DEPOSIT,300.29,2021-09-03,DEPOSIT
5458,acc_9041,PAYCHECK,1479.62,2022-04-29,PAYCHECK
5069,acc_8652,PAYCHECK_PLACEHOLDER,1252.93,2020-12-04,PAYCHECK_PLACEHOLDER
575,acc_1695,SELF_TRANSFER,60.84,2020-11-09,SELF_TRANSFER
1433,acc_4002,DEPOSIT,15546.24,2022-03-14,DEPOSIT
1399,acc_3904,EXTERNAL_TRANSFER,1797.08,2023-04-03,EXTERNAL_TRANSFER
449,acc_1321,EXTERNAL_TRANSFER,482.2,2021-08-16,EXTERNAL_TRANSFER
338,acc_1012,EXTERNAL_TRANSFER,77.61,2021-08-30,EXTERNAL_TRANSFER
1491,acc_4146,EXTERNAL_TRANSFER,11.0,2021-11-08,EXTERNAL_TRANSFER
5871,acc_9454,SMALL_DOLLAR_ADVANCE,250.0,2022-08-26,SMALL_DOLLAR_ADVANCE
1641,acc_4548,EXTERNAL_TRANSFER,3500.0,2021-04-15,EXTERNAL_TRANSFER
5000,acc_8583,EXTERNAL_TRANSFER,98.5,2022-02-09,EXTERNAL_TRANSFER
